algorithm,scenario,seed,total_cost,total_emission,service_level,total_reward,total_time,total_delivered,runtime
ClarkeWright,S3_LARGE,1016,196900.5137999999,313948.1016221496,0.0008754087169156863,-1149.9369933913677,6030.4748660799005,1941.4529962616136,9.9638090133667
GeneticAlgorithm,S3_LARGE,1016,92441.38550000012,147176.29952391438,0.0007316165320819941,-1123.7937948430751,2609.339450143889,1717.463431826188,6.857527256011963
MAPPO,S3_LARGE,1017,19335.373600000003,27332.249033879387,0.0004125010954429516,-1070.253395788712,457.7004581324506,679.7817876544817,3.532900333404541
NearestNeighbor,S3_LARGE,1017,217916.87620000067,348583.03917014226,0.0004018127874571122,-1126.9433622959937,5812.641790517464,661.8475031406575,6.187929391860962
ClarkeWright,S3_LARGE,1017,196900.5137999999,313948.1016221496,0.0008253791978026795,-1112.3531028944767,5687.748552594678,1941.4529962616136,4.171163320541382
GeneticAlgorithm,S3_LARGE,1017,81113.55119999981,109763.38906122664,0.0010099766962021327,-1077.72911930555,2183.8305706997944,2670.1717542786187,3.8067739009857178
MAPPO,S3_LARGE,1018,22757.7336,31124.796248116636,0.0005932643681115997,-1088.5016646642214,482.4206935109959,1165.6319023503117,2.6496822834014893
NearestNeighbor,S3_LARGE,1018,217916.87620000067,348583.03917014226,0.0004152078289177955,-1151.7657159022767,5459.275487984672,661.8475031406575,5.8424553871154785
ClarkeWright,S3_LARGE,1018,196900.5137999999,313948.1016221496,0.0008528944708933267,-1138.653347061004,5747.731674743477,1941.4529962616136,4.557145118713379
GeneticAlgorithm,S3_LARGE,1018,82332.0781999999,152258.91322209226,0.0008923920881207866,-1102.9790850947454,2726.2562416812248,2185.353994082903,4.333597183227539
MAPPO,S3_LARGE,1019,26213.763199999998,34251.914020370714,0.0007360033569055673,-1114.8170716263785,550.8822223816939,1660.6345986469414,3.210049629211426
NearestNeighbor,S3_LARGE,1019,217916.87620000067,348583.03917014226,0.00040029526571678674,-1182.2322202321618,5573.742862492021,661.8475031406575,10.096067667007446
ClarkeWright,S3_LARGE,1019,196900.5137999999,313948.1016221496,0.0008222619976745055,-1170.5399268981348,6260.072173410821,1941.4529962616136,5.32801079750061
GeneticAlgorithm,S3_LARGE,1019,101483.91680000027,166167.710487405,0.001025408907477288,-1145.833205506005,3110.092970440542,2661.4921508292905,4.331466436386108
MAPPO,S3_LARGE,1020,6633.063399999999,6996.049283212775,0.00017809527276533668,-1133.9937027269903,123.4893329113924,424.80899332034153,2.723780393600464
NearestNeighbor,S3_LARGE,1020,217916.87620000067,348583.03917014226,0.0003841872440319826,-1193.5753569933295,6527.088122571429,661.8475031406575,5.687953233718872
ClarkeWright,S3_LARGE,1020,196900.5137999999,313948.1016221496,0.0007891738869118202,-1177.6987175785803,6041.877547633638,1941.4529962616136,4.276000261306763
GeneticAlgorithm,S3_LARGE,1020,72627.71240000005,118551.3687798662,0.0005954324059530609,-1148.2198381720932,2169.620758251831,1525.1954851749838,4.032642602920532
MAPPO,S3_LARGE,1021,9916.372200000002,11495.845556251508,0.00023436681751774055,-1099.1811047911056,201.5593305768777,608.8,2.769278049468994
NearestNeighbor,S3_LARGE,1021,217916.87620000067,348583.03917014226,0.00041551851691753674,-1158.9762972764156,6088.739470741665,661.8475031406575,6.646079063415527
ClarkeWright,S3_LARGE,1021,196900.5137999999,313948.1016221496,0.0008535326671399732,-1141.8633219174485,5257.961354739028,1941.4529962616136,6.837572336196899
GeneticAlgorithm,S3_LARGE,1021,105812.40890000023,154434.01039376867,0.0007849255507633701,-1115.8739384925634,2936.7802775072423,1943.0193981440034,7.618336200714111
MAPPO,S3_LARGE,1022,74066.14280000007,117974.35293319581,0.0008500799688082654,-1104.5396356108508,1922.2580100103364,2063.631267645255,3.769038438796997
NearestNeighbor,S3_LARGE,1022,217916.87620000067,348583.03917014226,0.00041401854090480943,-1151.1357696990447,5398.9452521770645,661.8475031406575,6.615438461303711
ClarkeWright,S3_LARGE,1022,196900.5137999999,313948.1016221496,0.0008504515083482129,-1139.4789757549374,6095.91404615907,1941.4529962616136,4.225919723510742
GeneticAlgorithm,S3_LARGE,1022,105595.6742000001,172940.6420582999,0.0007525590316067551,-1116.1341776344252,3230.7235154584496,1827.9684458070542,3.9286599159240723
MAPPO,S3_LARGE,1023,6308.9949,6593.595825137471,0.00025966015062981113,-1056.7226796711284,128.02495702117062,642.9902474478989,3.1667490005493164
NearestNeighbor,S3_LARGE,1023,217916.87620000067,348583.03917014226,0.0004154069795189299,-1112.46786163023,5051.783478343529,661.8475031406575,10.542343854904175
ClarkeWright,S3_LARGE,1023,196900.5137999999,313948.1016221496,0.0008533035538441265,-1098.8157579585584,5189.165389657248,1941.4529962616136,4.940476417541504
GeneticAlgorithm,S3_LARGE,1023,91471.92269999994,133459.40556738133,0.000755179468064721,-1073.8342745123764,2576.984107279977,1827.3558160559503,4.018616437911987
MAPPO,S3_LARGE,1024,14635.783000000001,18237.429808084038,0.0005225513203307523,-1033.40979112522,317.39116932525894,981.8317473050015,2.6772401332855225
NearestNeighbor,S3_LARGE,1024,217916.87620000067,348583.03917014226,0.0004188234669252036,-1099.8421283202165,6615.8956344332155,661.8475031406575,5.796447277069092
ClarkeWright,S3_LARGE,1024,196900.5137999999,313948.1016221496,0.000860321492860537,-1080.7731651907018,5237.336836504268,1941.4529962616136,4.2409021854400635
