tag,scenario,seed,reward_weights,capacity_scale,total_cost,total_emission,service_level,total_time,total_delivered,total_reward
rw_pe60,S2_MEDIUM,1000,"0.20,0.10,0.60,0.10",1.0,9281.8687,9729.49635329988,0.012339468865155146,180.82908308819418,1286.2055794549656,-338.8146305172091
rw_pe60,S2_MEDIUM,1001,"0.20,0.10,0.60,0.10",1.0,12167.381800000001,14151.66028390589,0.011671465359523634,246.90174597917598,1129.514822030922,-322.4490144596355
rw_pe60,S2_MEDIUM,1002,"0.20,0.10,0.60,0.10",1.0,10553.6198,12488.631444089562,0.009129486023110025,227.56760869744616,918.9148219174582,-345.8436178838945
rw_pe60,S2_MEDIUM,1003,"0.20,0.10,0.60,0.10",1.0,12432.058,14950.385732119717,0.009295376783337672,265.31580850715216,960.7148217483301,-370.4069262148218
rw_pe60,S2_MEDIUM,1004,"0.20,0.10,0.60,0.10",1.0,14166.269400000001,17721.319768497528,0.007667556121846766,262.6624590989381,713.9436726879715,-371.8150435317813
rw_pe60,S2_MEDIUM,1005,"0.20,0.10,0.60,0.10",1.0,9406.9729,9844.403131189829,0.012749855790439149,182.55097857689293,1286.2055794549656,-338.0245431518756
rw_pe60,S2_MEDIUM,1006,"0.20,0.10,0.60,0.10",1.0,10131.348500000002,11397.054975016948,0.008663457266601574,192.132515274903,847.9711066853313,-376.2917975193133
rw_pe60,S2_MEDIUM,1007,"0.20,0.10,0.60,0.10",1.0,13820.4678,16408.155603905892,0.012098719499268298,296.9987515945819,1129.514822030922,-330.8013733869331
rw_pe60,S2_MEDIUM,1008,"0.20,0.10,0.60,0.10",1.0,13972.1653,17511.638618497527,0.007496024403867726,359.2344343664654,691.2436726879715,-387.400123371441
rw_pe60,S2_MEDIUM,1009,"0.20,0.10,0.60,0.10",1.0,12336.450000000004,14889.030864089562,0.009208665892177724,251.79597550949399,918.9148219174583,-357.0609392746315
rw_pe60,S2_MEDIUM,1010,"0.20,0.10,0.60,0.10",1.0,12168.755000000001,13869.59772098262,0.01121597296748391,245.19689695512437,1197.6055797382273,-356.1417789586071
rw_pe60,S2_MEDIUM,1011,"0.20,0.10,0.60,0.10",1.0,8918.1001,8884.79448329988,0.01259787023292115,180.52157260257135,1286.2055794549658,-345.7424654891569
rw_pe60,S2_MEDIUM,1012,"0.20,0.10,0.60,0.10",1.0,12407.083300000002,14609.109811618991,0.011768624301270677,244.2901215656625,1204.8151477867975,-363.3207122082364
rw_pe60,S2_MEDIUM,1013,"0.20,0.10,0.60,0.10",1.0,12892.224000000002,14981.792619914673,0.008662993318461112,290.93914886116744,854.809526000577,-387.32800503636054
rw_pe60,S2_MEDIUM,1014,"0.20,0.10,0.60,0.10",1.0,12220.385300000002,14456.479100467375,0.009212838082777158,265.761057575341,918.9148219174582,-358.4891220419631
rw_pe60,S2_MEDIUM,1015,"0.20,0.10,0.60,0.10",1.0,15626.000800000002,18728.995356176383,0.010919861656076195,342.45099739780994,1129.5148219442804,-369.0529596534337
rw_pe60,S2_MEDIUM,1016,"0.20,0.10,0.60,0.10",1.0,10749.3358,11677.756316862547,0.012574619997165571,220.00694344719957,1286.2055801106167,-338.62609053691443
rw_pe60,S2_MEDIUM,1017,"0.20,0.10,0.60,0.10",1.0,9270.486100000002,10306.753298497533,0.00921969213524465,192.76665202744465,918.91482174833,-354.3012813633865
rw_pe60,S2_MEDIUM,1018,"0.20,0.10,0.60,0.10",1.0,16072.1586,19891.939626368992,0.00842339819834279,305.02106818206846,990.4436711188793,-386.5292365760597
rw_pe60,S2_MEDIUM,1019,"0.20,0.10,0.60,0.10",1.0,9740.2543,10308.529105092766,0.012080311089453382,202.7281540617449,1286.2055799943412,-352.7627478308402
rw_pe60,S2_MEDIUM,1020,"0.20,0.10,0.60,0.10",1.0,12167.961700000002,13524.387245382557,0.01244584034193359,238.95938773211333,1286.2055804798215,-345.72567349534165
rw_pe60,S2_MEDIUM,1021,"0.20,0.10,0.60,0.10",1.0,12208.051200000002,14417.382816176385,0.010095848721837039,244.60029687694535,1024.2148219442804,-356.5905940124173
rw_pe60,S2_MEDIUM,1022,"0.20,0.10,0.60,0.10",1.0,12227.883500000002,13714.69165043657,0.009725017088111803,238.1189907492616,1184.8999589452155,-374.97020804447635
rw_pe60,S2_MEDIUM,1023,"0.20,0.10,0.60,0.10",1.0,12812.717700000001,14232.622799083874,0.014424208925189554,261.8120564749522,1519.135099620228,-334.3771834978033
rw_pe60,S2_MEDIUM,1024,"0.20,0.10,0.60,0.10",1.0,13454.965900000005,15835.438822554199,0.009259550832845331,263.7065966969404,901.8436728839217,-365.5178468108725
rw_pe60,S2_MEDIUM,1025,"0.20,0.10,0.60,0.10",1.0,10159.789499999999,10910.560162635711,0.013604703173310693,209.61725901272607,1391.5055794549658,-338.5018140967576
rw_pe60,S2_MEDIUM,1026,"0.20,0.10,0.60,0.10",1.0,11594.8933,12489.583072771655,0.01339466841705384,228.5456043964108,1480.105580731436,-335.95056366669576
rw_pe60,S2_MEDIUM,1027,"0.20,0.10,0.60,0.10",1.0,13525.152700000002,15784.576690193906,0.010684210801377143,286.0468767534696,1133.5819251048927,-360.8488161257403
rw_pe60,S2_MEDIUM,1028,"0.20,0.10,0.60,0.10",1.0,12666.4368,15021.319016176387,0.010044346319372215,270.0892771600817,1024.2148219442804,-366.95582676389495
rw_pe60,S2_MEDIUM,1029,"0.20,0.10,0.60,0.10",1.0,15296.294000000002,18691.57866858913,0.009117904414757759,307.1217054164595,1118.4436707806228,-384.27980411374705
