tag,scenario,seed,reward_weights,capacity_scale,total_cost,total_emission,service_level,total_time,total_delivered,total_reward
cap_x3,S2_MEDIUM,1000,"0.25,0.25,0.25,0.25",3.0,3519.5657,6508.52261077527,0.01615722420979754,69.34202093075879,1306.9726838920487,-384.0136301501551
cap_x3,S2_MEDIUM,1001,"0.25,0.25,0.25,0.25",3.0,5099.268499999999,10906.494763205617,0.017424524272917574,100.71721219006207,1350.036654289542,-358.18850581991484
cap_x3,S2_MEDIUM,1002,"0.25,0.25,0.25,0.25",3.0,6130.7948,13642.567498808678,0.01671365787471224,132.85452538948735,1359.5913855392155,-336.3684153010305
cap_x3,S2_MEDIUM,1003,"0.25,0.25,0.25,0.25",3.0,6172.678800000001,12133.23416682452,0.01769448545565549,120.77389351624703,1480.1055794549657,-365.88169196679183
cap_x3,S2_MEDIUM,1004,"0.25,0.25,0.25,0.25",3.0,4758.315600000001,9221.62752543025,0.018024695914339802,104.64753711197781,1480.1055794549657,-337.7777350701308
cap_x3,S2_MEDIUM,1005,"0.25,0.25,0.25,0.25",3.0,1675.5029999999997,2492.6943073709863,0.010567804113365421,30.814166666666665,830.8999565915773,-389.4578937836783
cap_x3,S2_MEDIUM,1006,"0.25,0.25,0.25,0.25",3.0,2754.0983,5411.822135952913,0.009679578791885976,51.91391089594711,738.861866650424,-370.19889199086373
cap_x3,S2_MEDIUM,1007,"0.25,0.25,0.25,0.25",3.0,3925.0299,6725.142377495342,0.018621992307147405,76.95103058293473,1412.5999553151069,-361.38644880402654
cap_x3,S2_MEDIUM,1008,"0.25,0.25,0.25,0.25",3.0,4569.0898,9331.202176306655,0.01574040736267888,101.77244942539298,1320.5618657320006,-345.5849686380972
cap_x3,S2_MEDIUM,1009,"0.25,0.25,0.25,0.25",3.0,4954.427500000001,10097.005418619818,0.019121741074361303,100.32082730158824,1631.9515174309126,-356.1592815271182
cap_x3,S2_MEDIUM,1010,"0.25,0.25,0.25,0.25",3.0,2606.7747,5012.450366056309,0.012225898336877563,53.50155482177176,978.5508490222945,-392.77649913079324
cap_x3,S2_MEDIUM,1011,"0.25,0.25,0.25,0.25",3.0,2166.3423000000003,3033.6303004339616,0.0086521854196531,38.5786,616.4907175900655,-397.3062693219792
cap_x3,S2_MEDIUM,1012,"0.25,0.25,0.25,0.25",3.0,6130.7948,13642.567498808678,0.01672178356981984,119.80194734338852,1359.5913855392155,-359.0035175715751
cap_x3,S2_MEDIUM,1013,"0.25,0.25,0.25,0.25",3.0,6086.8716,15154.060708519053,0.013430342885547066,133.05583165080165,1001.7910589272683,-373.8706369360626
cap_x3,S2_MEDIUM,1014,"0.25,0.25,0.25,0.25",3.0,4529.8188,8900.106388946717,0.01654179780837268,88.51791050582764,1320.5618653739534,-347.79765399019067
cap_x3,S2_MEDIUM,1015,"0.25,0.25,0.25,0.25",3.0,5163.623700000001,9362.635205469136,0.017496198006292766,111.54314561746645,1470.5508482052921,-393.5579678359634
cap_x3,S2_MEDIUM,1016,"0.25,0.25,0.25,0.25",3.0,3696.5331,6355.579952307018,0.01649874244848362,71.95666062612584,1311.0071341242797,-379.9330183774933
cap_x3,S2_MEDIUM,1017,"0.25,0.25,0.25,0.25",3.0,5498.319800000001,11886.843819047923,0.018206087472811834,115.6416230661011,1519.135099620228,-359.15534341398524
cap_x3,S2_MEDIUM,1018,"0.25,0.25,0.25,0.25",3.0,5180.9347,11500.886686464359,0.016326296615021198,100.65502134535454,1306.9726838920487,-400.5134622533025
cap_x3,S2_MEDIUM,1019,"0.25,0.25,0.25,0.25",3.0,3504.9757999999997,6416.204455430248,0.016802632205775127,71.67112064499412,1430.0055794549658,-381.163114392282
cap_x3,S2_MEDIUM,1020,"0.25,0.25,0.25,0.25",3.0,4121.9451,8110.888841124308,0.017967234162717532,77.60138234688016,1509.5803683705542,-387.8124033717315
cap_x3,S2_MEDIUM,1021,"0.25,0.25,0.25,0.25",3.0,5198.114600000001,9979.712901021168,0.01632961252499977,100.58013857367392,1433.3782831846383,-363.12841205719354
cap_x3,S2_MEDIUM,1022,"0.25,0.25,0.25,0.25",3.0,2536.4748,4323.037549871558,0.0114124344435293,48.80893235936367,1004.6618666504239,-370.4958672016773
cap_x3,S2_MEDIUM,1023,"0.25,0.25,0.25,0.25",3.0,2578.3588,3907.384864381042,0.009902940839164445,47.84348461538461,776.0344316710776,-391.8294228464895
cap_x3,S2_MEDIUM,1024,"0.25,0.25,0.25,0.25",3.0,3961.9651999999996,8506.260937945655,0.015105490160329577,85.05103571403824,1209.8618655993334,-337.0156382578001
cap_x3,S2_MEDIUM,1025,"0.25,0.25,0.25,0.25",3.0,2885.1012000000005,5726.324705952913,0.012005057166555201,54.18450326156576,1004.6618666504241,-356.8868821275007
cap_x3,S2_MEDIUM,1026,"0.25,0.25,0.25,0.25",3.0,4043.6492,8308.455752129395,0.01427009040428989,76.55701839691295,1145.2199084250074,-388.0176650674784
cap_x3,S2_MEDIUM,1027,"0.25,0.25,0.25,0.25",3.0,5562.5583,12721.441878374002,0.014550883677295363,109.44135192577596,1147.4289698110365,-386.31239673791663
cap_x3,S2_MEDIUM,1028,"0.25,0.25,0.25,0.25",3.0,2754.0983,5411.822135952913,0.009462356241744517,57.5309500516717,738.861866650424,-365.26006141629176
cap_x3,S2_MEDIUM,1029,"0.25,0.25,0.25,0.25",3.0,5498.319800000001,11886.843819047923,0.017386946075237306,110.38110244266693,1519.135099620228,-377.8299803085984
