algorithm,lambda,seed,total_cost,total_emission,service_level,total_reward
NearestNeighbor,0.1,2001,24593.761799999993,32409.817555384612,0.006391740681072479,-410.17401323211027
GeneticAlgorithm,0.1,2001,13893.502600000022,25767.34714855722,0.0023067384222662064,-410.8240755975405
MAPPO_zeroshot,0.1,2002,6769.911899999999,8171.578316314871,0.006955500507600673,-404.40404981104257
NearestNeighbor,0.1,2002,24593.761799999993,32409.817555384612,0.0060275256110335846,-428.0726733404307
GeneticAlgorithm,0.1,2002,17823.056300000015,23092.27907423919,0.001973962744331017,-434.25537911514147
MAPPO_zeroshot,0.1,2003,5999.843900000001,6438.152998887117,0.010682377178616833,-385.6742086830132
NearestNeighbor,0.1,2003,24593.761799999993,32409.817555384612,0.006227210774910404,-424.02310915658927
GeneticAlgorithm,0.1,2003,37455.85110000002,50708.26920373576,0.003831148461414602,-440.1284892572041
MAPPO_zeroshot,0.1,2004,14433.945900000004,18359.744564428416,0.008618258535884533,-407.48084204974367
NearestNeighbor,0.1,2004,24593.761799999993,32409.817555384612,0.0061635501807517385,-426.10715493506655
GeneticAlgorithm,0.1,2004,19748.725900000023,29778.066486622025,0.0035809587949612643,-424.2191842920701
MAPPO_zeroshot,0.1,2005,7028.6929,7968.539989158348,0.008525501402238213,-403.0573541424701
NearestNeighbor,0.1,2005,24593.761799999993,32409.817555384612,0.006128346625250087,-429.70031046625513
GeneticAlgorithm,0.1,2005,13352.317799999983,13870.101009999971,0.001043120523594315,-432.48814082948445
MAPPO_zeroshot,0.1,2006,5069.261399999999,5475.511698887117,0.009598405896994195,-373.6866991838921
NearestNeighbor,0.1,2006,24593.761799999993,32409.817555384612,0.006535547686746587,-408.5012619308867
GeneticAlgorithm,0.1,2006,31877.788399999965,35801.73994798459,0.002966335401806113,-423.87079730344124
MAPPO_zeroshot,0.1,2007,6514.268399999999,7105.597199158347,0.010703546937240674,-361.2920283980172
NearestNeighbor,0.1,2007,24593.761799999993,32409.817555384612,0.006534730212143982,-394.4030856193811
