algorithm,scenario,seed,total_cost,total_emission,service_level,total_reward,total_time,total_delivered,actor_params,train_steps
SinglePPO,S2_MEDIUM,1000,10023.9191,13324.032472741304,0.0032002544419127083,-401.7738648040385,313.3430672725285,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1001,10023.9191,13324.032472741304,0.0033776666113353197,-375.2210524772652,294.2186645153227,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1002,10023.9191,13324.032472741304,0.0032246106165002217,-387.0235060249293,303.1461078964319,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1003,10023.9191,13324.032472741304,0.0032224332938167568,-410.2820051256733,290.3586888500917,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1004,10023.9191,13324.032472741304,0.003282570235262756,-388.86650152824166,300.99763567258356,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1005,10023.9191,13324.032472741304,0.0033066887297137845,-400.8837524231504,292.7578884879964,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1006,10023.9191,13324.032472741304,0.0032692892363455333,-413.4011080761227,296.0389024408955,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1007,10023.9191,13324.032472741304,0.003501311929033645,-381.9908267934931,291.0355765690774,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1008,10023.9191,13324.032472741304,0.003209135505487816,-403.4509227664576,297.35948759177677,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1009,10023.9191,13324.032472741304,0.003252577606729621,-396.8296165939815,307.6746544850687,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1010,10023.9191,13324.032472741304,0.003215442720112527,-406.29223365787146,312.94459230823264,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1011,10023.9191,13324.032472741304,0.0032672689440543835,-402.0122651187366,293.56629063153105,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1012,10023.9191,13324.032472741304,0.003226178328540893,-409.6139421222809,293.25535693977423,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1013,10023.9191,13324.032472741304,0.003145951351788034,-403.11377393214843,281.9337410304854,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1014,10023.9191,13324.032472741304,0.003254051259250551,-398.03941009675435,328.44835119445383,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1015,10023.9191,13324.032472741304,0.003200549583539671,-411.64372601482535,291.7958602583957,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1016,10023.9191,13324.032472741304,0.0032612411379749776,-399.6886810582822,286.00386000032006,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1017,10023.9191,13324.032472741304,0.003256472168253358,-396.39400777772926,287.08678848600175,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1018,10023.9191,13324.032472741304,0.003233742540411883,-416.3626569362765,295.4491189398151,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1019,10023.9191,13324.032472741304,0.003133041594607034,-415.04755232308,306.1293650607365,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1020,10023.9191,13324.032472741304,0.003227841995939655,-408.6409166087399,295.5556896199208,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1021,10023.9191,13324.032472741304,0.0032123101649585662,-398.6848693653338,294.1505240265863,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1022,10023.9191,13324.032472741304,0.0031354613866242135,-399.18447598851714,293.73955926916835,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1023,10023.9191,13324.032472741304,0.003240783758532814,-398.66698676244937,312.58782368153675,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1024,10023.9191,13324.032472741304,0.0032219977239588164,-388.2832719985585,306.40351296238794,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1025,10023.9191,13324.032472741304,0.0032982790307969625,-403.3974605313111,296.01705288378105,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1026,10023.9191,13324.032472741304,0.003078433693515033,-402.9495214390742,310.06507192793777,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1027,10023.9191,13324.032472741304,0.0031351912709713225,-399.7535804801415,310.75618700787606,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1028,10023.9191,13324.032472741304,0.0031959230641287837,-408.46279721339334,289.2094318521929,343.4471102723978,344824,500000
SinglePPO,S2_MEDIUM,1029,10023.9191,13324.032472741304,0.0031099546275111926,-415.1326284141987,287.42533034608846,343.4471102723978,344824,500000
