tag,scenario,seed,reward_weights,capacity_scale,total_cost,total_emission,service_level,total_time,total_delivered,total_reward
fleet_K15,S2_MEDIUM,1000,"0.25,0.25,0.25,0.25",1.0,11812.413500000002,12243.950475044721,0.0134748004797639,228.34129967022173,1486.7913846274794,-240.5753335930613
fleet_K15,S2_MEDIUM,1001,"0.25,0.25,0.25,0.25",1.0,7492.8752,6797.31575430661,0.01338729671318919,139.508501287929,1327.6875236280525,-223.16573661421566
fleet_K15,S2_MEDIUM,1002,"0.25,0.25,0.25,0.25",1.0,9058.5926,9618.225780672812,0.01178651688930381,175.02288210664395,1375.2910584391157,-233.73199155828473
fleet_K15,S2_MEDIUM,1003,"0.25,0.25,0.25,0.25",1.0,8476.3757,9315.940290837541,0.011771336357498911,160.6799774994331,1374.4148201211522,-246.76226490428152
fleet_K15,S2_MEDIUM,1004,"0.25,0.25,0.25,0.25",1.0,8205.4326,7925.938308525809,0.010026071910842132,172.972779125988,1140.0999573140975,-240.7234270922218
fleet_K15,S2_MEDIUM,1005,"0.25,0.25,0.25,0.25",1.0,8999.6159,8990.630850837544,0.014453722570169046,171.62281004473832,1487.231237931837,-235.6870124947241
fleet_K15,S2_MEDIUM,1006,"0.25,0.25,0.25,0.25",1.0,10012.322700000002,10538.617971349811,0.013947737801864011,195.72875445598126,1519.135099620228,-244.9531816695201
fleet_K15,S2_MEDIUM,1007,"0.25,0.25,0.25,0.25",1.0,7660.623000000001,7294.932244953667,0.013271719410035075,147.27499271531786,1428.261863177875,-228.06644375096624
fleet_K15,S2_MEDIUM,1008,"0.25,0.25,0.25,0.25",1.0,8213.61,8276.58235539003,0.012164224975592091,195.97916570079778,1428.2618644622173,-243.1617589573438
fleet_K15,S2_MEDIUM,1009,"0.25,0.25,0.25,0.25",1.0,8023.714399999999,7716.14840430661,0.01289150958766279,153.46397518897413,1327.6875236280525,-239.02412838996295
fleet_K15,S2_MEDIUM,1010,"0.25,0.25,0.25,0.25",1.0,8319.036300000002,8918.775415994656,0.009142571950682516,151.73667712894516,793.8056215269404,-254.97167524378224
fleet_K15,S2_MEDIUM,1011,"0.25,0.25,0.25,0.25",1.0,9426.0503,10166.781070837542,0.013368271505657885,179.27491201539718,1487.231237931837,-239.19552452130037
fleet_K15,S2_MEDIUM,1012,"0.25,0.25,0.25,0.25",1.0,9058.5926,9618.225780672812,0.011792247151544168,159.50845529307466,1375.2910584391157,-248.7214409807471
fleet_K15,S2_MEDIUM,1013,"0.25,0.25,0.25,0.25",1.0,9257.4005,10759.258992968487,0.007234034750105665,194.57948940679404,720.6199101608997,-258.5390939489201
fleet_K15,S2_MEDIUM,1014,"0.25,0.25,0.25,0.25",1.0,9058.5926,9618.225780672812,0.011894127597786555,190.17446744393604,1375.2910584391157,-240.97599996032233
fleet_K15,S2_MEDIUM,1015,"0.25,0.25,0.25,0.25",1.0,9701.8343,10285.17063134981,0.012396126651909667,201.13162938142554,1460.6055794549657,-246.3833180005447
fleet_K15,S2_MEDIUM,1016,"0.25,0.25,0.25,0.25",1.0,9823.079899999999,10724.050564615145,0.010030242932391879,190.69595213690297,1111.336328224625,-250.27765426418773
fleet_K15,S2_MEDIUM,1017,"0.25,0.25,0.25,0.25",1.0,10284.051200000002,10588.481905390028,0.01362398923579783,195.5674317628528,1486.7913846274794,-237.87097620949726
fleet_K15,S2_MEDIUM,1018,"0.25,0.25,0.25,0.25",1.0,7330.6342,6569.004670319837,0.011419889252421201,147.31208151389896,1205.3148623530528,-250.84258415162853
fleet_K15,S2_MEDIUM,1019,"0.25,0.25,0.25,0.25",1.0,9050.993599999998,8568.921628396609,0.013701722861485502,165.4401962962079,1488.1074762498006,-246.81373808961155
fleet_K15,S2_MEDIUM,1020,"0.25,0.25,0.25,0.25",1.0,10512.59,10340.05031539003,0.014553116978077048,206.4745163858473,1486.7913846274794,-239.19506963761853
fleet_K15,S2_MEDIUM,1021,"0.25,0.25,0.25,0.25",1.0,8476.3757,9315.940290837541,0.011734357235227304,180.49924410468546,1374.4148201211522,-239.19360110957874
fleet_K15,S2_MEDIUM,1022,"0.25,0.25,0.25,0.25",1.0,9181.984199999999,10010.989957594262,0.00958652405148492,170.89729336933084,1141.3199103435786,-248.1001260083293
fleet_K15,S2_MEDIUM,1023,"0.25,0.25,0.25,0.25",1.0,11873.024300000003,12987.255421349812,0.014879237452534388,225.63437285791736,1519.135099620228,-237.5008261099169
fleet_K15,S2_MEDIUM,1024,"0.25,0.25,0.25,0.25",1.0,8992.5371,9827.765910837543,0.0126414285185126,170.02682896116508,1480.3148201211523,-230.21564976411702
fleet_K15,S2_MEDIUM,1025,"0.25,0.25,0.25,0.25",1.0,8476.3757,9315.940290837541,0.012048395833951396,169.2822943948268,1374.4148201211522,-242.20397112506544
fleet_K15,S2_MEDIUM,1026,"0.25,0.25,0.25,0.25",1.0,12448.2818,13313.737688232352,0.012839527981109586,234.6048382301938,1493.8255325648663,-240.34871893526503
fleet_K15,S2_MEDIUM,1027,"0.25,0.25,0.25,0.25",1.0,11470.910400000002,11686.469146397136,0.013711124035697157,240.4935315708508,1488.1074762498006,-238.4423905070119
fleet_K15,S2_MEDIUM,1028,"0.25,0.25,0.25,0.25",1.0,8943.887299999999,10402.469833796607,0.007348943425788852,164.60693300016524,844.6199096553313,-259.56098432008577
fleet_K15,S2_MEDIUM,1029,"0.25,0.25,0.25,0.25",1.0,10229.804900000001,10218.480819350929,0.011073020992397164,187.01511215874947,1338.234430394607,-252.06623832202538
