variant,scenario,mask_mode,corrupt_prob,seed,total_cost,total_emission,service_level,total_reward,invalid_action_count
hard,S2_MEDIUM,hard,0.0,1000,9823.703399999999,11365.204079990064,0.011486868924488976,-375.20681613792823,0
hard,S2_MEDIUM,hard,0.0,1001,7444.8508999999995,8375.860849158347,0.011104674230737629,-350.03839270981257,0
hard,S2_MEDIUM,hard,0.0,1002,9715.5677,11712.636123984983,0.01005820792823118,-363.5066524534604,0
hard,S2_MEDIUM,hard,0.0,1003,6930.4264,7529.9202203043915,0.012021722966876928,-380.3189051848483,0
hard,S2_MEDIUM,hard,0.0,1004,4656.366399999999,4993.980648008852,0.008202964960916888,-365.3220904939419,0
hard,S2_MEDIUM,hard,0.0,1005,8060.9304,9813.391330475082,0.0075420185169250455,-380.4726973660527,0
hard,S2_MEDIUM,hard,0.0,1006,7577.0144,8400.292920304391,0.012196525393826898,-383.90559221227625,0
hard,S2_MEDIUM,hard,0.0,1007,6199.6399,6418.285209990065,0.012567472968977873,-352.2785126367376,0
hard,S2_MEDIUM,hard,0.0,1008,6003.106899999999,6519.556433282857,0.009609112403282516,-375.6272931861205,0
hard,S2_MEDIUM,hard,0.0,1009,5999.843900000001,6438.152998887117,0.011199303039552638,-366.1256727647004,0
hard,S2_MEDIUM,hard,0.0,1010,3815.8123000000005,3934.806129206789,0.008444655439515792,-374.0550464596267,0
hard,S2_MEDIUM,hard,0.0,1011,8175.6374000000005,9373.39897728344,0.010741722444174035,-377.37213158627304,0
hard,S2_MEDIUM,hard,0.0,1012,7435.814900000001,8362.372520718378,0.011378036888454846,-376.3274057941245,0
hard,S2_MEDIUM,hard,0.0,1013,7086.0464,7884.9315509402595,0.011095093601384881,-369.59147705031353,0
hard,S2_MEDIUM,hard,0.0,1014,6930.4264,7529.9202203043915,0.012139678060614823,-367.5787888394563,0
hard,S2_MEDIUM,hard,0.0,1015,7608.753900000001,9276.568875603216,0.008717644447873015,-387.8941246225771,0
hard,S2_MEDIUM,hard,0.0,1016,6347.2279,6958.534366031765,0.00918859863752154,-374.09527903877256,0
hard,S2_MEDIUM,hard,0.0,1017,7499.1803,8175.068849990064,0.0116886546466731,-368.2513957595903,0
hard,S2_MEDIUM,hard,0.0,1018,7764.396100000001,8892.88116322101,0.010391803035521218,-383.6016444608996,0
hard,S2_MEDIUM,hard,0.0,1019,8791.591400000001,10070.447520304393,0.011688235150223783,-386.55174784098506,0
hard,S2_MEDIUM,hard,0.0,1020,7864.2719,8690.541049990064,0.0115858906188044,-380.5905078709439,0
hard,S2_MEDIUM,hard,0.0,1021,7444.8508999999995,8375.860849158347,0.010561035772514714,-373.64590604078165,0
hard,S2_MEDIUM,hard,0.0,1022,13240.6111,16647.387392259283,0.009242885362073551,-384.2210308770806,0
hard,S2_MEDIUM,hard,0.0,1023,7804.965300000001,9219.731085238094,0.009934161137338606,-370.0758585116658,0
hard,S2_MEDIUM,hard,0.0,1024,6314.4724,7318.990455866165,0.008070769245862818,-365.32686064345455,0
hard,S2_MEDIUM,hard,0.0,1025,6050.9103000000005,6490.744758824493,0.011356662573855059,-372.9175105180807,0
hard,S2_MEDIUM,hard,0.0,1026,11889.517999999998,14172.026959990066,0.011049610264433204,-378.6389001972014,0
hard,S2_MEDIUM,hard,0.0,1027,11902.0436,14322.215836750347,0.010644690781118606,-376.3984698379003,0
hard,S2_MEDIUM,hard,0.0,1028,5583.6858999999995,6013.829977741073,0.009588566952724408,-381.84184951737956,0
hard,S2_MEDIUM,hard,0.0,1029,7611.7659,9484.978958849086,0.0074986486996349725,-394.72812288268346,0
