algorithm,scenario,seed,total_cost,total_emission,service_level,total_reward,total_time,total_delivered,runtime
MAPPO,S1_SMALL,1000,4768.554199999999,5427.223842290125,0.10337553002658595,-190.4064438513063,95.82515487615075,1160.9437890414779,0.3357241153717041
NearestNeighbor,S1_SMALL,1000,6006.7957,6473.603672230549,0.11838497565829725,-226.83355376949496,120.89028923818962,1389.4999862716068,0.056246280670166016
ClarkeWright,S1_SMALL,1000,5996.6078,6097.574281308158,0.02639851398183181,-267.5966102215497,116.58749219053297,247.41984152676397,0.05402636528015137
GeneticAlgorithm,S1_SMALL,1000,354.09730000000013,401.9396097889465,0.0034804521712257872,-257.09859739547875,6.148235009846864,17.599999868869784,0.18045997619628906
MAPPO,S1_SMALL,1001,4591.339199999999,4927.5806770814415,0.12278542877438506,-164.31124465204005,93.68160589501407,1317.043789041478,0.15212321281433105
NearestNeighbor,S1_SMALL,1001,6006.7957,6473.603672230549,0.12722370568335567,-206.09530920327438,122.04743739926374,1389.4999862716068,0.055640459060668945
ClarkeWright,S1_SMALL,1001,5996.6078,6097.574281308158,0.028369451061055286,-246.7161552504611,115.9566074023237,247.41984152676397,0.05471992492675781
GeneticAlgorithm,S1_SMALL,1001,1444.4166000000002,2039.420513885618,0.022159299485456984,-226.03126988500694,32.144256634566105,207.31984182553228,0.17424416542053223
MAPPO,S1_SMALL,1002,4617.716499999999,4970.996276139595,0.11969058204847036,-170.63288983718917,93.21420188273328,1292.5437889139334,0.11550402641296387
NearestNeighbor,S1_SMALL,1002,6006.7957,6473.603672230549,0.12401699075376052,-210.5466190636628,120.86206633394066,1389.4999862716068,0.05659079551696777
ClarkeWright,S1_SMALL,1002,5996.6078,6097.574281308158,0.02765438980911944,-251.24641670808535,115.65657950067428,247.41984152676397,0.05415081977844238
GeneticAlgorithm,S1_SMALL,1002,1444.4166000000002,2039.420513885618,0.02160076712619533,-230.587668332211,32.03326954401693,207.31984182553228,0.17671823501586914
MAPPO,S1_SMALL,1003,4691.159699999998,5172.841033380475,0.11340415401633538,-181.74411147386448,95.19018861796324,1267.6437885101118,0.11661553382873535
NearestNeighbor,S1_SMALL,1003,6006.7957,6473.603672230549,0.11965920509919284,-221.6410291311568,120.70518787280363,1389.4999862716068,0.05658555030822754
ClarkeWright,S1_SMALL,1003,5996.6078,6097.574281308158,0.0266826527716098,-262.32230703041984,115.23542819890848,247.41984152676397,0.05480504035949707
GeneticAlgorithm,S1_SMALL,1003,1983.4826000000025,1769.2145995767776,0.006459257412470071,-256.5350113608862,44.662940787173916,52.79999973773957,0.17288851737976074
MAPPO,S1_SMALL,1004,4834.525399999999,5132.304979982892,0.10955084841347165,-186.44656530474367,96.68115648923846,1268.6581666548364,0.11720037460327148
NearestNeighbor,S1_SMALL,1004,6006.7957,6473.603672230549,0.12365569977260396,-211.9491959357412,121.01828931040902,1389.4999862716068,0.057718515396118164
ClarkeWright,S1_SMALL,1004,5996.6078,6097.574281308158,0.027573825996316758,-252.5409224388259,114.31520579565881,247.41984152676397,0.05536055564880371
GeneticAlgorithm,S1_SMALL,1004,231.41270000000011,352.4386000000001,0.003635408528025386,-241.86148156740148,5.3577554645152485,24.5,0.17492341995239258
MAPPO,S1_SMALL,1005,4700.577199999998,4968.2142996344755,0.12098266539177165,-184.43096490875325,95.08809078918708,1316.0581661963927,0.11772441864013672
NearestNeighbor,S1_SMALL,1005,6006.7957,6473.603672230549,0.12325863083211189,-220.1862187302888,120.41558210472333,1389.4999862716068,0.05704236030578613
ClarkeWright,S1_SMALL,1005,5996.6078,6097.574281308158,0.027485284102219933,-260.9213469213962,115.7608059152594,247.41984152676397,0.054491281509399414
GeneticAlgorithm,S1_SMALL,1005,366.41770000000014,459.55229970620326,0.0057325592684721455,-248.48002203155684,7.49385040779573,48.999999817460775,0.18648433685302734
MAPPO,S1_SMALL,1006,4773.0311999999985,5132.043809982893,0.1113977621140095,-197.3822616867233,97.3476295511079,1251.0581666548362,0.11870503425598145
NearestNeighbor,S1_SMALL,1006,6006.7957,6473.603672230549,0.12121165903199105,-225.63327604801896,122.6354543298429,1389.4999862716068,0.056824445724487305
ClarkeWright,S1_SMALL,1006,5996.6078,6097.574281308158,0.02702883248422469,-266.31611091934707,117.36085609814938,247.41984152676397,0.05456233024597168
