param,value,seed,total_cost,total_emission,service_level,total_reward,total_generated
horizon,100,1000,9823.703399999999,11365.204079990064,0.01212523339022195,-144.51080164875654,115869.31581042206
horizon,100,1001,7444.8508999999995,8375.860849158347,0.011746213094510882,-132.05179705538578,109554.60171825717
horizon,100,1002,9715.5677,11712.636123984983,0.010616752619605282,-140.0121907271409,114997.8832326794
horizon,100,1003,6930.4264,7529.9202203043915,0.012687478413622917,-144.4788209325866,115093.19726950637
horizon,100,1004,4656.366399999999,4993.980648008852,0.008670149778996347,-139.9158030097583,112813.85005065323
horizon,100,1005,8060.9304,9813.391330475082,0.007969847859785217,-153.04275814458413,112014.31913988921
horizon,100,1006,7577.0144,8400.292920304391,0.012896792595469886,-147.0193387814995,113225.2414778114
horizon,100,1007,6199.6399,6418.285209990065,0.013326702083856256,-131.17987661555932,105423.11879759222
horizon,100,1008,6003.106899999999,6519.556433282857,0.010143836354914199,-143.04561503869164,115539.42079483652
horizon,100,1009,5999.843900000001,6438.152998887117,0.011833888668611639,-136.98824049265738,113887.57544656529
horizon,100,1010,3815.8123000000005,3934.806129206789,0.008909310402798059,-144.0924626388889,115380.05103345626
horizon,100,1011,8175.6374000000005,9373.39897728344,0.011347924761192268,-146.26467712324848,113399.73822064564
horizon,100,1012,7435.814900000001,8362.372520718378,0.012011822372326507,-144.89273388463047,114924.09312291449
horizon,100,1013,7086.0464,7884.9315509402595,0.011706277900558322,-140.9534436878472,117923.71619910466
horizon,100,1014,6930.4264,7529.9202203043915,0.012820121769523409,-138.65844209311533,113902.38580908511
horizon,100,1015,7608.753900000001,9276.568875603216,0.009194657799582319,-154.54716569705516,115950.79050745953
horizon,100,1016,6347.2279,6958.534366031765,0.009696282190113361,-144.27230857811307,113735.68297271967
horizon,100,1017,7499.1803,8175.068849990064,0.012344749572322029,-139.86249135047188,113808.91031733106
horizon,100,1018,7764.396100000001,8892.88116322101,0.010973151029325811,-148.69235604054924,114628.61287158116
horizon,100,1019,8791.591400000001,10070.447520304393,0.01231926858928528,-149.00830692708996,118533.21041980543
horizon,100,1020,7864.2719,8690.541049990064,0.012231052008440475,-145.83510356782574,114866.8565873923
horizon,100,1021,7444.8508999999995,8375.860849158347,0.011155242072472815,-143.65635933775042,115358.47352361906
horizon,100,1022,12766.0509,16005.061732409762,0.009743733545985364,-153.15209537904013,118417.94352596594
horizon,100,1023,7804.965300000001,9219.731085238094,0.010475670716924481,-143.63173845376755,114534.70355583158
horizon,100,1024,6314.4724,7318.990455866165,0.008517081475675054,-140.44020605668965,115114.79991452789
horizon,100,1025,6050.9103000000005,6490.744758824493,0.012010382312896101,-140.63823291518128,112213.98732044775
horizon,100,1026,11889.517999999998,14172.026959990066,0.01163808614540733,-147.05643553486303,120719.37597067338
horizon,100,1027,11902.0436,14322.215836750347,0.01121072516847125,-146.84884815407605,118542.88433458615
horizon,100,1028,5583.6858999999995,6013.829977741073,0.010116134759232924,-147.04236730380927,116086.05044098533
horizon,100,1029,7611.7659,9484.978958849086,0.007900561270067514,-158.83704803281827,119454.38556807855
horizon,200,1000,9823.703399999999,11365.204079990064,0.011486868924488976,-375.20681613792823,122314.50725654257
horizon,200,1001,7444.8508999999995,8375.860849158347,0.011104674230737629,-350.03839270981257,115889.92940981299
horizon,200,1002,9715.5677,11712.636123984983,0.01005820792823118,-363.5066524534604,121390.63958750921
horizon,200,1003,6930.4264,7529.9202203043915,0.012021722966876928,-380.3189051848483,121472.66039881845
horizon,200,1004,4656.366399999999,4993.980648008852,0.008202964960916888,-365.3220904939419,119247.27183371336
horizon,200,1005,8060.9304,9813.391330475082,0.0075420185169250455,-380.4726973660527,118377.50001691746
horizon,200,1006,7577.0144,8400.292920304391,0.012196525393826898,-383.90559221227625,119731.6960536226
horizon,200,1007,6199.6399,6418.285209990065,0.012567472968977873,-352.2785126367376,111797.3928320471
horizon,200,1008,6003.106899999999,6519.556433282857,0.009609112403282516,-375.6272931861205,121976.01020219864
horizon,200,1009,5999.843900000001,6438.152998887117,0.011199303039552638,-366.1256727647004,120346.87330679408
horizon,200,1010,3815.8123000000005,3934.806129206789,0.008444655439515792,-374.0550464596267,121736.74956467957
