variant,scenario,mask_mode,corrupt_prob,seed,total_cost,total_emission,service_level,total_reward,invalid_action_count
hard_corrupt10,S2_MEDIUM,hard,0.1,1000,9372.410600000001,10885.148801841742,0.011701888388270083,-373.8363576495543,34
hard_corrupt10,S2_MEDIUM,hard,0.1,1001,7616.528899999999,8477.041407028319,0.011104679152075051,-350.37948327417877,31
hard_corrupt10,S2_MEDIUM,hard,0.1,1002,8877.9795,10087.626023155795,0.010459392071555846,-359.7949544789365,32
hard_corrupt10,S2_MEDIUM,hard,0.1,1003,7254.6709,7798.2954977061845,0.012365485681023136,-377.9196098986796,37
hard_corrupt10,S2_MEDIUM,hard,0.1,1004,4963.743199999999,5147.656467754514,0.008241210894519674,-364.31219038849355,26
hard_corrupt10,S2_MEDIUM,hard,0.1,1005,8748.1962,10165.51447423881,0.009307078331159142,-373.9165371294913,37
hard_corrupt10,S2_MEDIUM,hard,0.1,1006,7375.595,8013.3762816392045,0.012827104649768382,-378.57888548627,38
hard_corrupt10,S2_MEDIUM,hard,0.1,1007,6122.62,6358.229235053036,0.01230726111997674,-352.77387586481666,37
hard_corrupt10,S2_MEDIUM,hard,0.1,1008,6113.722199999999,6595.169996434627,0.0098479838772131,-374.5233035313957,31
hard_corrupt10,S2_MEDIUM,hard,0.1,1009,6060.8902,6467.288352973523,0.011181096307617419,-366.4706570290338,40
hard_corrupt10,S2_MEDIUM,hard,0.1,1010,4791.1451,4849.99928883541,0.008611993160031806,-374.760731001097,60
hard_corrupt10,S2_MEDIUM,hard,0.1,1011,8084.305200000001,9269.738637501368,0.01072669812039185,-376.7795583993262,30
hard_corrupt10,S2_MEDIUM,hard,0.1,1012,7538.500700000001,8388.093641987745,0.011617893599163149,-375.7167284809518,34
hard_corrupt10,S2_MEDIUM,hard,0.1,1013,7324.341100000001,8148.704919081349,0.011095096262368612,-369.77044653071505,35
hard_corrupt10,S2_MEDIUM,hard,0.1,1014,7263.9605,7822.3204546015295,0.012139678060614823,-366.81017345758266,28
hard_corrupt10,S2_MEDIUM,hard,0.1,1015,7668.182300000001,8843.603364474706,0.010745152991725952,-379.35616184067675,31
hard_corrupt10,S2_MEDIUM,hard,0.1,1016,6505.1014000000005,7047.123833148615,0.009680653948785266,-373.01358547944864,28
hard_corrupt10,S2_MEDIUM,hard,0.1,1017,7732.1078,8339.67583710671,0.011877502773858276,-366.94802667182887,43
hard_corrupt10,S2_MEDIUM,hard,0.1,1018,7557.351800000001,7974.157468486237,0.010562768973504683,-381.68923835533417,31
hard_corrupt10,S2_MEDIUM,hard,0.1,1019,8825.777800000002,9985.996398080944,0.011869924527105065,-384.6763106605769,22
hard_corrupt10,S2_MEDIUM,hard,0.1,1020,8194.6777,8987.164683254308,0.011792478879301474,-380.34941604153425,37
hard_corrupt10,S2_MEDIUM,hard,0.1,1021,7328.922699999999,7960.311539194348,0.010715321447717543,-372.2471351354614,40
hard_corrupt10,S2_MEDIUM,hard,0.1,1022,11201.479700000002,13608.049594301592,0.010114385821712453,-377.78674985210216,19
hard_corrupt10,S2_MEDIUM,hard,0.1,1023,7573.9572,9164.345969820166,0.008639296643825818,-373.8395597672576,29
hard_corrupt10,S2_MEDIUM,hard,0.1,1024,6444.9764,7487.716757265305,0.00805190364220708,-365.09985891490874,37
hard_corrupt10,S2_MEDIUM,hard,0.1,1025,6075.184700000001,6450.50499864042,0.011483896185968552,-372.5369335058182,29
hard_corrupt10,S2_MEDIUM,hard,0.1,1026,12536.349600000001,14640.281118092304,0.01198949684317279,-375.09581706615984,43
hard_corrupt10,S2_MEDIUM,hard,0.1,1027,11379.357700000002,13406.711107018718,0.010855336371802709,-373.14047172517667,26
hard_corrupt10,S2_MEDIUM,hard,0.1,1028,5703.565799999999,6158.074209423436,0.009588566949461521,-380.5248460196491,41
hard_corrupt10,S2_MEDIUM,hard,0.1,1029,7800.5385,9306.64710292002,0.008757294105609369,-389.3718771302546,72
